Presure =1021.898681640625, Temperature =39.21569061279297, Humidity =17.36463165283203
Presure =1021.890380859375, Temperature =39.10434341430664, Humidity =17.68478012084961
Presure =1021.890380859375, Temperature =39.085784912109375, Humidity =17.324993133544922
Presure =1021.881591796875, Temperature =39.141456604003906, Humidity =17.68478012084961
Presure =1021.890380859375, Temperature =39.085784912109375, Humidity =17.82198715209961
Presure =1021.90576171875, Temperature =39.21569061279297, Humidity =17.492691040039062
Presure =1021.9130859375, Temperature =39.122901916503906, Humidity =17.45610237121582
Presure =1021.8837890625, Temperature =39.19712829589844, Humidity =17.818937301635742
Presure =1021.8759765625, Temperature =39.17857360839844, Humidity =17.709171295166016
Presure =1021.868896484375, Temperature =39.23424530029297, Humidity =17.428661346435547
Presure =1021.911376953125, Temperature =39.011558532714844, Humidity =16.69689178466797
Presure =1021.91748046875, Temperature =39.085784912109375, Humidity =17.523181915283203
Presure =1021.888671875, Temperature =39.067230224609375, Humidity =17.611602783203125
Presure =1021.89208984375, Temperature =39.122901916503906, Humidity =17.29755210876465
Presure =1021.90234375, Temperature =38.93732452392578, Humidity =17.770153045654297
Presure =1021.8828125, Temperature =39.085784912109375, Humidity =17.754907608032227
Presure =1021.91650390625, Temperature =39.067230224609375, Humidity =17.346336364746094
Presure =1021.870849609375, Temperature =39.23424530029297, Humidity =17.535377502441406
Presure =1021.8974609375, Temperature =39.141456604003906, Humidity =17.40427017211914
Presure =1021.87890625, Temperature =39.011558532714844, Humidity =17.632946014404297
Presure =1021.90380859375, Temperature =39.122901916503906, Humidity =17.660388946533203
Presure =1021.918701171875, Temperature =39.10434341430664, Humidity =17.5079345703125
Presure =1021.8857421875, Temperature =39.122901916503906, Humidity =17.864673614501953
Presure =1021.908935546875, Temperature =39.122901916503906, Humidity =17.605504989624023
Presure =1021.882568359375, Temperature =39.17857360839844, Humidity =17.629898071289062
Presure =1021.914794921875, Temperature =39.04867172241211, Humidity =17.550621032714844
Presure =1021.913818359375, Temperature =39.16001510620117, Humidity =17.642093658447266
Presure =1021.888916015625, Temperature =39.16001510620117, Humidity =17.57806396484375
Presure =1021.90869140625, Temperature =39.122901916503906, Humidity =17.757957458496094
Presure =1021.888916015625, Temperature =39.04867172241211, Humidity =17.526229858398438
Presure =1021.901611328125, Temperature =39.10434341430664, Humidity =17.57196617126465
Presure =1021.92333984375, Temperature =39.122901916503906, Humidity =17.489643096923828
Presure =1021.9013671875, Temperature =39.19712829589844, Humidity =18.919639587402344
Presure =1021.9208984375, Temperature =39.17857360839844, Humidity =17.41036605834961
Presure =1021.9208984375, Temperature =39.16001510620117, Humidity =17.367679595947266
Presure =1021.9248046875, Temperature =39.10434341430664, Humidity =17.45610237121582
Presure =1021.909912109375, Temperature =39.10434341430664, Humidity =17.50183868408203
Presure =1021.92919921875, Temperature =39.122901916503906, Humidity =17.712221145629883
Presure =1021.889404296875, Temperature =39.122901916503906, Humidity =17.34328842163086
Presure =1021.930908203125, Temperature =39.030113220214844, Humidity =17.504886627197266
Presure =1021.928955078125, Temperature =38.86309814453125, Humidity =17.53842544555664
Presure =1021.901123046875, Temperature =38.93732452392578, Humidity =17.367679595947266
Presure =1021.891357421875, Temperature =38.97444152832031, Humidity =17.48049545288086
Presure =1021.898193359375, Temperature =38.99299621582031, Humidity =17.61770248413086
Presure =1021.90771484375, Temperature =38.91876983642578, Humidity =17.70612335205078
Presure =1021.88232421875, Temperature =39.067230224609375, Humidity =17.767105102539062
Presure =1021.909423828125, Temperature =38.97444152832031, Humidity =17.474395751953125
Presure =1021.88623046875, Temperature =39.067230224609375, Humidity =17.48049545288086
Presure =1021.903076171875, Temperature =39.085784912109375, Humidity =17.693927764892578
Presure =1021.906494140625, Temperature =38.97444152832031, Humidity =17.68478012084961
Presure =1021.921142578125, Temperature =39.16001510620117, Humidity =17.553672790527344
Presure =1021.8955078125, Temperature =39.2713623046875, Humidity =17.67563247680664
Presure =1021.938232421875, Temperature =39.19712829589844, Humidity =17.648191452026367
Presure =1021.935546875, Temperature =39.21569061279297, Humidity =17.544525146484375
Presure =1021.91650390625, Temperature =39.23424530029297, Humidity =17.75185775756836
Presure =1021.89892578125, Temperature =39.085784912109375, Humidity =17.66953468322754
Presure =1021.906494140625, Temperature =39.10434341430664, Humidity =17.75185775756836
Presure =1021.914794921875, Temperature =39.067230224609375, Humidity =17.81283950805664
Presure =1021.893798828125, Temperature =39.10434341430664, Humidity =17.605504989624023
Presure =1021.94189453125, Temperature =39.122901916503906, Humidity =17.486591339111328
Presure =1021.888916015625, Temperature =39.16001510620117, Humidity =17.681732177734375
Presure =1021.910400390625, Temperature =39.17857360839844, Humidity =17.529277801513672
Presure =1021.893310546875, Temperature =39.23424530029297, Humidity =17.45610237121582
Presure =1021.9111328125, Temperature =39.10434341430664, Humidity =17.510986328125
Presure =1021.911865234375, Temperature =38.95588302612305, Humidity =18.25494956970215
